차품목,효능번호,카페인,향기준,contentId,"맛,향",personId
Vanilla Bean Macaron,1,O,"2,4",100053,"계피, 바닐라향",53
VANILLA CARAMEL CHAI,4,O,4,100054,바닐라의 풍부한 향,54
White Peach Oolong Tea,"1,4",O,1,100055,복숭아향,55
Wild Apple Sarsaparilla,4,X,"1,4",100056,"과일향(사과), 캐모마일향",56
Wild Raspberry Hibiscus Herbal Tea,3,X,1,100057,"라즈베리향,",57
"Yogi Tea, Perfect Energy",2,O,1,100058,과일향,58
"Yogi Tea, 베리 디톡스",2,X,1,100059,과일 향,59
"Yogi Tea, 복숭아 해독제,",2,X,1,100060,과일 향이 나는 복숭아 향,60
"Yogi Tea, 여성용 라즈베리 잎",4,X,5,100061,달콤한 맛,61
ZEN™-green tea,3,O,3,100062,시원한 향,62
요기티 Yogi Tea 라즈베리 패션 퍼펙트 에너지 티 16티백,2,X,2,100063,"카다몬, 계피, 클로버, 생강, 검은 후추",63
요기티 Yogi Tea 베드타임 티 16티백,4,X,3,100064,스피아민트,64
요기티 Yogi Tea 스윗 탠저린 파지티브 에너지 티 16티백,4,O,1,100065,"귤, 레몬, 연꽃",65
요기티 Yogi Tea 스토맥 이즈 티 16티백,4,X,"2,3",100066,"감초, 카다몬씨앗, 회향씨, 페퍼민트잎, 생강뿌리, 후추",66
요기티 Yogi Tea 진저 티 16티백,"2,4",,2,100067,허브 약초 생강,67
요기티 Yogi Tea 콜드 시즌 티 16티백,4,X,"2,3,4",100068,"생강뿌리, 감초, 유칼립투스잎, 오렌지껍질, 박하잎, 레몬그라스, 바질잎, 카아몬씨앗, 오레가노잎, 파슬리잎, 야로꽃,",68
요기티 Yogi Tea 트롯 컴포트 티 허니 레몬 16티백,4,X,1,100069,"누릅나무껍질, 꿀 레몬",69
요기티 Yogi Tea 피치 디톡스 티 16티백,4,X,1,100070,복숭아 향,70
aa71,4,X,5,100071,464aa71,71
aa72,1,O,3,100072,22aa72,72
aa73,4,X,3,100073,385aa73,73
aa74,3,X,3,100074,54aa74,74
aa75,2,O,4,100075,193aa75,75
aa76,2,O,1,100076,323aa76,76
aa77,4,O,2,100077,89aa77,77
aa78,4,X,3,100078,192aa78,78
aa79,3,O,4,100079,338aa79,79
aa80,1,O,3,100080,326aa80,80
aa81,4,O,2,100081,448aa81,81
aa82,3,O,4,100082,467aa82,82
aa83,3,X,5,100083,81aa83,83
aa84,2,X,5,100084,11aa84,84
aa85,1,X,2,100085,285aa85,85
aa86,1,O,2,100086,378aa86,86
aa87,2,X,1,100087,279aa87,87
aa88,1,X,4,100088,13aa88,88
aa89,1,O,5,100089,335aa89,89
aa90,4,O,4,100090,56aa90,90
aa91,2,X,5,100091,296aa91,91
aa92,1,X,2,100092,206aa92,92
aa93,1,X,3,100093,302aa93,93
aa94,1,O,4,100094,140aa94,94
aa95,2,X,5,100095,198aa95,95
aa96,3,O,1,100096,205aa96,96
aa97,3,O,3,100097,182aa97,97
aa98,3,O,2,100098,388aa98,98
aa99,3,X,1,100099,229aa99,99
aa100,1,X,3,100100,478aa100,100
aa101,3,X,2,100101,223aa101,101
aa102,2,O,1,100102,350aa102,102
aa103,2,X,2,100103,102aa103,103
aa104,1,O,2,100104,33aa104,104
aa105,3,O,1,100105,177aa105,105
aa106,4,X,3,100106,181aa106,106
aa107,4,X,2,100107,374aa107,107
aa108,3,X,3,100108,386aa108,108
aa109,2,X,3,100109,221aa109,109
aa110,4,X,2,100110,433aa110,110
aa111,3,O,3,100111,392aa111,111
aa112,4,X,5,100112,245aa112,112
aa113,4,O,3,100113,205aa113,113
aa114,3,X,2,100114,378aa114,114
aa115,1,O,3,100115,117aa115,115
aa116,2,O,2,100116,135aa116,116
aa117,1,X,4,100117,101aa117,117
aa118,4,O,4,100118,225aa118,118
aa119,1,X,1,100119,305aa119,119
aa120,4,O,5,100120,396aa120,120
aa121,4,X,4,100121,301aa121,121
aa122,4,X,1,100122,279aa122,122
aa123,4,X,4,100123,331aa123,123
aa124,3,X,3,100124,283aa124,124
aa125,2,X,2,100125,163aa125,125
aa126,2,O,1,100126,387aa126,126
aa127,2,X,3,100127,168aa127,127
aa128,4,O,2,100128,88aa128,128
aa129,1,X,5,100129,420aa129,129
aa130,2,O,2,100130,242aa130,130
aa131,1,X,5,100131,281aa131,131
aa132,3,X,4,100132,21aa132,132
aa133,1,X,5,100133,379aa133,133
aa134,1,X,2,100134,381aa134,134
aa135,4,X,3,100135,459aa135,135
aa136,2,O,2,100136,276aa136,136
aa137,2,O,4,100137,15aa137,137
aa138,3,X,5,100138,441aa138,138
aa139,3,O,5,100139,346aa139,139
aa140,4,O,4,100140,6aa140,140
aa141,3,X,5,100141,377aa141,141
aa142,2,O,3,100142,16aa142,142
aa143,1,X,5,100143,187aa143,143
aa144,3,X,1,100144,141aa144,144
aa145,2,X,4,100145,431aa145,145
aa146,2,X,1,100146,186aa146,146
aa147,4,X,1,100147,55aa147,147
aa148,3,O,1,100148,268aa148,148
aa149,1,O,4,100149,238aa149,149
aa150,3,O,2,100150,244aa3,150
aa151,1,O,4,100151,215aa135,151
aa152,4,X,2,100152,371aa124,152
aa153,3,O,2,100153,83aa92,153
aa154,2,O,4,100154,329aa68,154
aa155,2,O,4,100155,282aa59,155
aa156,4,O,5,100156,8aa73,156
aa157,4,X,1,100157,295aa97,157
aa158,3,X,1,100158,66aa125,158
aa159,1,X,4,100159,204aa108,159
aa160,4,X,5,100160,3aa143,160
aa161,3,O,5,100161,415aa19,161
aa162,3,X,4,100162,345aa46,162
aa163,2,O,2,100163,24aa4,163
aa164,1,O,4,100164,48aa94,164
aa165,1,O,4,100165,14aa89,165
aa166,2,X,3,100166,426aa140,166
aa167,1,O,2,100167,252aa114,167
aa168,1,O,4,100168,188aa139,168
aa169,4,X,1,100169,465aa133,169
aa170,2,X,3,100170,421aa115,170
aa171,1,O,5,100171,177aa126,171
aa172,1,O,1,100172,80aa105,172
aa173,1,X,3,100173,282aa20,173
aa174,2,X,2,100174,333aa99,174
aa175,3,X,4,100175,231aa66,175
aa176,3,X,2,100176,317aa48,176
aa177,3,O,4,100177,19aa50,177
aa178,3,O,3,100178,158aa93,178
aa179,1,O,4,100179,427aa58,179
aa180,3,O,4,100180,311aa55,180
aa181,2,O,2,100181,235aa88,181
aa182,2,O,1,100182,56aa122,182
aa183,1,O,3,100183,345aa31,183
aa184,3,X,1,100184,240aa140,184
aa185,4,X,4,100185,19aa144,185
aa186,4,O,1,100186,73aa29,186
aa187,3,X,5,100187,196aa117,187
aa188,2,X,3,100188,63aa87,188
aa189,4,X,3,100189,76aa137,189
aa190,3,X,2,100190,436aa113,190
aa191,4,X,4,100191,436aa97,191
aa192,4,X,1,100192,84aa137,192
aa193,3,O,5,100193,378aa68,193
aa194,1,X,3,100194,406aa64,194
aa195,2,O,5,100195,453aa131,195
aa196,1,X,3,100196,93aa110,196
aa197,4,O,5,100197,380aa121,197
aa198,1,X,5,100198,196aa82,198
aa199,4,O,2,100199,304aa95,199
aa200,4,X,1,100200,61aa134,200
aa201,4,O,1,100201,291aa121,201
aa202,4,X,5,100202,443aa4,202
aa203,3,O,3,100203,27aa50,203
aa204,2,O,2,100204,399aa109,204
aa205,2,X,4,100205,414aa124,205
aa206,2,X,3,100206,257aa11,206
aa207,4,O,4,100207,11aa65,207
aa208,1,X,5,100208,282aa16,208
aa209,2,X,5,100209,46aa65,209
aa210,1,O,2,100210,319aa88,210
aa211,3,O,4,100211,422aa122,211
aa212,1,O,4,100212,34aa23,212
aa213,1,X,1,100213,443aa80,213
aa214,4,O,2,100214,49aa24,214
aa215,2,O,3,100215,202aa126,215
aa216,2,X,5,100216,72aa78,216
aa217,3,X,2,100217,341aa46,217
aa218,3,O,1,100218,334aa106,218
aa219,4,O,1,100219,125aa4,219
aa220,3,O,3,100220,420aa57,220
aa221,2,O,4,100221,48aa91,221
aa222,1,O,1,100222,321aa108,222
aa223,3,O,3,100223,413aa45,223
aa224,2,X,2,100224,279aa142,224
aa225,2,O,2,100225,92aa14,225
aa226,4,O,5,100226,267aa19,226
aa227,3,O,1,100227,422aa139,227
aa228,1,O,1,100228,161aa105,228
aa229,3,X,4,100229,435aa144,229
aa230,2,X,2,100230,458aa127,230
aa231,3,O,3,100231,382aa6,231
aa232,3,X,2,100232,89aa27,232
aa233,3,O,2,100233,247aa38,233
aa234,2,X,2,100234,186aa127,234
aa235,1,O,4,100235,208aa119,235
aa236,1,X,1,100236,353aa67,236
aa237,2,X,1,100237,247aa133,237
aa238,4,X,3,100238,290aa145,238
aa239,3,X,4,100239,366aa25,239
aa240,4,X,3,100240,336aa18,240
aa241,4,O,2,100241,100aa28,241
aa242,2,O,2,100242,261aa36,242
aa243,1,O,1,100243,304aa54,243
aa244,3,X,5,100244,396aa17,244
aa245,2,O,2,100245,381aa25,245
aa246,1,X,2,100246,407aa142,246
aa247,3,X,5,100247,449aa126,247
aa248,3,X,4,100248,316aa134,248
aa249,1,O,2,100249,102aa52,249
aa250,4,X,3,100250,80aa30,250
aa251,1,O,5,100251,262aa146,251
aa252,4,X,4,100252,311aa73,252
aa253,3,O,5,100253,295aa32,253
aa254,2,X,5,100254,469aa35,254
aa255,2,O,1,100255,358aa52,255
aa256,1,O,3,100256,101aa147,256
aa257,4,O,1,100257,171aa54,257
aa258,3,O,3,100258,454aa38,258
aa259,1,O,3,100259,185aa99,259
aa260,4,O,5,100260,47aa116,260
aa261,4,X,4,100261,324aa25,261
aa262,3,O,4,100262,21aa145,262
aa263,1,X,4,100263,274aa39,263
aa264,1,O,5,100264,348aa51,264
aa265,4,O,3,100265,12aa27,265
aa266,2,O,5,100266,238aa103,266
aa267,1,O,5,100267,37aa46,267
aa268,3,O,2,100268,300aa108,268
aa269,3,O,1,100269,491aa7,269
aa270,2,X,4,100270,303aa16,270
aa271,2,O,4,100271,144aa84,271
aa272,3,X,4,100272,116aa80,272
aa273,3,X,1,100273,421aa25,273
aa274,4,X,1,100274,138aa100,274
aa275,3,X,1,100275,451aa115,275
aa276,2,O,4,100276,316aa109,276
aa277,1,X,2,100277,321aa130,277
aa278,2,X,4,100278,65aa85,278
aa279,4,O,1,100279,495aa110,279
aa280,1,O,3,100280,172aa128,280
aa281,3,X,2,100281,102aa39,281
aa282,3,O,3,100282,25aa57,282
aa283,2,O,4,100283,49aa144,283
aa284,1,X,1,100284,216aa2,284
aa285,4,X,1,100285,151aa112,285
aa286,4,X,3,100286,377aa49,286
aa287,3,O,1,100287,244aa140,287
aa288,2,O,1,100288,312aa66,288
aa289,2,O,5,100289,480aa11,289
aa290,2,X,3,100290,247aa20,290
aa291,4,X,2,100291,249aa6,291
aa292,2,O,3,100292,295aa102,292
aa293,2,X,5,100293,444aa10,293
aa294,2,O,4,100294,445aa84,294
aa295,4,O,4,100295,14aa13,295
aa296,2,X,4,100296,164aa63,296
aa297,3,X,5,100297,11aa2,297
aa298,3,O,2,100298,443aa76,298
aa299,1,X,3,100299,80aa72,299
aa300,4,O,3,100300,345aa135,300
aa301,4,X,2,100301,104aa86,301
aa302,2,X,1,100302,418aa116,302
aa303,3,X,5,100303,444aa1,303
aa304,4,O,4,100304,10aa3,304
aa305,1,O,4,100305,497aa66,305
aa306,4,X,4,100306,354aa68,306
aa307,3,O,5,100307,494aa35,307
aa308,1,O,1,100308,464aa149,308
aa309,3,X,2,100309,282aa75,309
aa310,1,X,4,100310,207aa137,310
aa311,4,O,2,100311,2aa83,311
aa312,3,X,5,100312,92aa104,312
aa313,3,X,3,100313,394aa112,313
aa314,1,O,4,100314,136aa67,314
aa315,4,X,5,100315,178aa126,315
aa316,1,O,3,100316,366aa86,316
aa317,1,X,4,100317,197aa106,317
aa318,3,X,3,100318,292aa76,318
aa319,2,O,4,100319,296aa109,319
aa320,4,O,3,100320,424aa37,320
aa321,2,X,4,100321,133aa81,321
aa322,2,X,2,100322,173aa89,322
aa323,1,X,5,100323,367aa80,323
aa324,3,O,1,100324,198aa100,324
aa325,4,O,5,100325,440aa118,325
aa326,3,X,4,100326,39aa114,326
aa327,3,O,5,100327,390aa119,327
aa328,3,X,3,100328,112aa145,328
aa329,2,O,1,100329,422aa105,329
aa330,1,O,5,100330,389aa112,330
aa331,1,X,2,100331,156aa61,331
aa332,1,X,4,100332,347aa129,332
aa333,4,X,1,100333,292aa32,333
aa334,4,X,4,100334,7aa108,334
aa335,1,O,5,100335,116aa64,335
aa336,1,X,5,100336,157aa112,336
aa337,3,X,2,100337,67aa84,337
aa338,1,O,2,100338,61aa100,338
aa339,1,O,1,100339,313aa75,339
aa340,2,O,3,100340,258aa58,340
aa341,4,O,1,100341,36aa68,341
aa342,3,O,4,100342,268aa57,342
aa343,3,O,1,100343,381aa126,343
aa344,1,O,1,100344,274aa31,344
aa345,2,O,5,100345,280aa149,345
aa346,1,X,1,100346,128aa16,346
aa347,3,X,5,100347,93aa143,347
aa348,2,O,2,100348,245aa41,348
aa349,2,O,5,100349,267aa13,349
aa350,1,X,3,100350,212aa119,350
aa351,3,O,2,100351,487aa132,351
aa352,3,O,1,100352,202aa123,352
aa353,3,X,2,100353,494aa87,353
aa354,1,O,5,100354,12aa144,354
aa355,3,X,3,100355,45aa17,355
aa356,4,X,4,100356,300aa70,356
aa357,3,X,3,100357,206aa142,357
aa358,4,X,1,100358,363aa32,358
aa359,1,X,3,100359,438aa25,359
aa360,2,X,1,100360,17aa4,360
aa361,1,X,3,100361,171aa101,361
aa362,4,O,5,100362,419aa56,362
aa363,2,O,4,100363,332aa101,363
aa364,4,X,2,100364,410aa143,364
aa365,1,X,1,100365,14aa33,365
aa366,3,X,5,100366,193aa34,366
aa367,1,X,1,100367,257aa34,367
aa368,2,O,3,100368,443aa59,368
aa369,4,O,3,100369,122aa89,369
aa370,1,O,1,100370,162aa134,370
aa371,4,O,5,100371,38aa116,371
aa372,2,O,2,100372,367aa134,372
aa373,1,O,2,100373,102aa90,373
aa374,4,O,2,100374,433aa129,374
aa375,2,O,2,100375,293aa94,375
aa376,1,O,1,100376,169aa105,376
aa377,3,O,2,100377,312aa103,377
aa378,3,X,2,100378,468aa85,378
aa379,2,O,5,100379,484aa23,379
aa380,2,O,1,100380,82aa109,380
aa381,3,X,5,100381,444aa61,381
aa382,3,O,3,100382,382aa106,382
aa383,4,X,4,100383,40aa8,383
aa384,4,X,4,100384,157aa13,384
aa385,3,O,3,100385,177aa75,385
aa386,3,O,4,100386,290aa10,386
aa387,3,X,3,100387,37aa39,387
aa388,2,X,2,100388,396aa47,388
aa389,1,X,2,100389,390aa101,389
aa390,3,O,3,100390,227aa10,390
aa391,3,X,3,100391,443aa73,391
aa392,4,X,2,100392,453aa24,392
aa393,1,O,4,100393,435aa133,393
aa394,1,X,3,100394,123aa126,394
aa395,3,O,5,100395,425aa58,395
aa396,3,O,3,100396,392aa7,396
aa397,3,X,5,100397,479aa51,397
aa398,2,O,2,100398,348aa8,398
aa399,2,O,1,100399,216aa47,399
aa400,1,X,5,100400,7aa21,400
aa401,3,X,3,100401,400aa17,401
aa402,3,X,2,100402,313aa33,402
aa403,3,X,3,100403,49aa117,403
aa404,3,O,1,100404,211aa1,404
aa405,4,X,2,100405,251aa48,405
aa406,1,O,2,100406,135aa111,406
aa407,3,O,1,100407,150aa65,407
aa408,4,O,3,100408,478aa146,408
aa409,4,O,5,100409,290aa3,409
aa410,3,X,1,100410,371aa79,410
aa411,3,X,2,100411,295aa116,411
aa412,1,O,1,100412,360aa7,412
aa413,3,X,1,100413,60aa97,413
aa414,4,O,5,100414,301aa39,414
aa415,2,O,3,100415,429aa60,415
aa416,3,X,2,100416,51aa71,416
aa417,2,X,2,100417,47aa19,417
aa418,1,O,2,100418,288aa37,418
aa419,1,O,5,100419,348aa140,419
aa420,4,O,3,100420,29aa141,420
aa421,4,O,2,100421,385aa90,421
aa422,3,X,4,100422,190aa143,422
aa423,1,O,4,100423,442aa82,423
aa424,2,O,3,100424,247aa60,424
aa425,1,X,5,100425,141aa114,425
aa426,1,X,4,100426,341aa16,426
aa427,3,X,4,100427,2aa20,427
aa428,4,X,3,100428,398aa75,428
aa429,3,X,1,100429,144aa125,429
aa430,2,O,4,100430,93aa70,430
aa431,2,O,5,100431,91aa14,431
aa432,2,X,1,100432,236aa97,432
aa433,2,O,5,100433,390aa26,433
aa434,3,X,3,100434,414aa32,434
aa435,1,X,1,100435,474aa110,435
aa436,2,O,4,100436,457aa107,436
aa437,3,X,4,100437,5aa73,437
aa438,2,O,1,100438,61aa138,438
aa439,4,X,5,100439,112aa46,439
aa440,4,X,3,100440,151aa49,440
aa441,4,X,3,100441,267aa102,441
aa442,3,X,5,100442,303aa30,442
aa443,2,O,5,100443,218aa101,443
aa444,4,X,2,100444,310aa127,444
aa445,1,O,5,100445,200aa49,445
aa446,1,X,5,100446,215aa147,446
aa447,4,O,2,100447,379aa88,447
aa448,3,X,3,100448,399aa135,448
aa449,3,X,4,100449,217aa116,449
aa450,4,O,5,100450,32aa49,450
aa451,1,X,5,100451,233aa91,451
aa452,4,O,1,100452,493aa88,452
aa453,3,X,3,100453,339aa128,453
aa454,2,X,2,100454,61aa3,454
aa455,1,O,3,100455,220aa93,455
aa456,3,O,4,100456,473aa46,456
aa457,1,X,3,100457,465aa37,457
aa458,2,X,3,100458,165aa92,458
aa459,4,X,2,100459,381aa3,459
aa460,3,O,3,100460,286aa26,460
aa461,3,O,1,100461,217aa67,461
aa462,1,O,5,100462,301aa36,462
aa463,2,O,2,100463,233aa72,463
aa464,2,O,4,100464,268aa15,464
aa465,2,O,1,100465,332aa52,465
aa466,4,X,4,100466,121aa145,466
aa467,3,X,3,100467,196aa55,467
aa468,2,O,1,100468,25aa73,468
aa469,3,O,2,100469,132aa72,469
aa470,3,O,4,100470,144aa118,470
aa471,3,O,2,100471,91aa117,471
aa472,2,O,5,100472,387aa83,472
aa473,1,X,4,100473,45aa128,473
aa474,3,O,2,100474,479aa43,474
aa475,1,O,2,100475,195aa29,475
aa476,3,X,2,100476,412aa34,476
aa477,4,X,5,100477,196aa65,477
aa478,2,O,4,100478,122aa131,478
aa479,3,O,3,100479,361aa116,479
aa480,2,O,5,100480,461aa118,480
aa481,2,X,4,100481,53aa36,481
aa482,4,O,5,100482,301aa96,482
aa483,3,O,4,100483,198aa38,483
aa484,2,X,1,100484,332aa149,484
aa485,4,O,4,100485,145aa8,485
aa486,3,X,1,100486,401aa137,486
aa487,1,O,4,100487,315aa74,487
aa488,2,O,4,100488,457aa139,488
aa489,1,X,2,100489,335aa118,489
aa490,3,O,4,100490,436aa50,490
aa491,4,X,2,100491,130aa95,491
aa492,3,O,5,100492,162aa64,492
aa493,1,O,5,100493,156aa65,493
aa494,2,X,3,100494,93aa96,494
aa495,1,X,1,100495,238aa131,495
aa496,3,X,5,100496,490aa25,496
aa497,1,X,3,100497,215aa104,497
aa498,4,O,3,100498,335aa7,498
aa499,4,O,1,100499,342aa134,499
aa500,3,O,3,100500,84aa50,500
aa501,3,O,3,100501,154aa26,501
aa502,4,X,4,100502,68aa36,502
aa503,1,X,3,100503,248aa131,503
aa504,1,O,1,100504,137aa142,504
aa505,3,O,2,100505,176aa35,505
aa506,3,O,1,100506,367aa149,506
aa507,1,O,2,100507,420aa26,507
aa508,1,X,3,100508,400aa122,508
aa509,1,X,1,100509,130aa73,509
aa510,3,X,5,100510,268aa70,510
aa511,2,X,5,100511,101aa91,511
aa512,2,X,3,100512,252aa11,512
aa513,2,O,2,100513,168aa128,513
aa514,3,X,2,100514,124aa2,514
aa515,4,X,1,100515,496aa51,515
aa516,4,X,5,100516,341aa59,516
aa517,3,X,4,100517,451aa50,517
aa518,3,X,2,100518,19aa115,518
aa519,4,X,4,100519,11aa67,519
aa520,4,O,4,100520,274aa120,520
aa521,1,O,3,100521,426aa46,521
aa522,3,X,2,100522,244aa106,522
aa523,2,O,5,100523,65aa11,523
aa524,2,X,2,100524,382aa18,524
aa525,1,O,5,100525,169aa82,525
aa526,4,X,4,100526,342aa64,526
aa527,1,O,4,100527,456aa28,527
aa528,2,O,3,100528,40aa3,528
aa529,3,O,5,100529,278aa117,529
aa530,2,X,5,100530,211aa82,530
aa531,3,O,4,100531,293aa5,531
aa532,1,O,1,100532,53aa108,532
aa533,2,O,1,100533,342aa142,533
aa534,1,X,1,100534,269aa99,534
aa535,4,O,4,100535,493aa20,535
aa536,1,X,5,100536,102aa48,536
aa537,2,X,3,100537,460aa2,537
aa538,4,X,2,100538,180aa4,538
aa539,4,O,5,100539,333aa145,539
aa540,4,X,4,100540,254aa107,540
aa541,3,O,2,100541,337aa71,541
aa542,3,X,5,100542,151aa115,542
aa543,2,X,4,100543,72aa38,543
aa544,4,X,1,100544,34aa25,544
aa545,1,O,3,100545,427aa64,545
aa546,4,X,3,100546,280aa117,546
aa547,1,O,5,100547,133aa126,547
aa548,1,X,4,100548,62aa78,548
aa549,3,O,4,100549,150aa48,549
aa550,4,O,2,100550,474aa35,550
aa551,1,X,2,100551,346aa40,551
aa552,1,O,1,100552,248aa149,552
aa553,3,O,1,100553,167aa39,553
aa554,2,X,5,100554,429aa104,554
aa555,1,O,5,100555,254aa140,555
aa556,2,O,4,100556,52aa93,556
aa557,4,O,5,100557,215aa5,557
aa558,1,O,3,100558,170aa132,558
aa559,1,X,2,100559,485aa124,559
aa560,1,O,2,100560,306aa50,560
aa561,4,X,3,100561,11aa100,561
aa562,1,X,1,100562,152aa5,562
aa563,1,X,2,100563,180aa1,563
aa564,1,O,2,100564,101aa97,564
aa565,2,O,1,100565,215aa101,565
aa566,4,O,2,100566,431aa143,566
aa567,2,X,2,100567,489aa88,567
aa568,2,X,2,100568,231aa144,568
aa569,4,O,4,100569,451aa131,569
aa570,4,O,2,100570,386aa88,570
aa571,3,O,2,100571,128aa63,571
aa572,4,O,2,100572,205aa79,572
aa573,3,O,4,100573,399aa135,573
aa574,2,X,1,100574,17aa45,574
aa575,2,O,1,100575,497aa55,575
aa576,1,O,5,100576,319aa150,576
aa577,3,O,2,100577,444aa41,577
aa578,4,X,1,100578,295aa115,578
aa579,2,O,4,100579,364aa33,579
aa580,1,X,5,100580,291aa92,580
aa581,3,O,2,100581,390aa20,581
aa582,2,O,2,100582,76aa68,582
aa583,3,O,2,100583,105aa36,583
aa584,4,X,1,100584,456aa6,584
aa585,2,X,5,100585,233aa87,585
aa586,4,X,1,100586,84aa113,586
aa587,1,X,1,100587,15aa46,587
aa588,4,O,4,100588,30aa118,588
aa589,3,X,4,100589,500aa98,589
aa590,4,X,5,100590,449aa113,590
aa591,3,X,5,100591,174aa106,591
aa592,1,X,2,100592,426aa43,592
aa593,1,O,2,100593,153aa139,593
aa594,2,X,3,100594,312aa90,594
aa595,1,O,4,100595,381aa81,595
aa596,2,X,4,100596,146aa89,596
aa597,1,O,5,100597,44aa110,597
aa598,3,O,4,100598,488aa76,598
aa599,4,O,2,100599,145aa116,599
aa600,1,O,3,100600,224aa101,600
aa601,4,O,5,100601,449aa1,601
aa602,3,O,5,100602,200aa57,602
aa603,3,X,1,100603,246aa131,603
aa604,4,X,1,100604,235aa57,604
aa605,3,O,1,100605,148aa116,605
aa606,3,X,2,100606,364aa13,606
aa607,1,O,4,100607,350aa16,607
aa608,3,X,2,100608,371aa148,608
aa609,3,X,1,100609,83aa31,609
aa610,4,X,3,100610,449aa46,610
aa611,1,O,4,100611,193aa68,611
aa612,4,X,2,100612,71aa61,612
aa613,3,O,1,100613,64aa61,613
aa614,3,X,4,100614,385aa9,614
aa615,1,O,1,100615,325aa22,615
aa616,3,O,3,100616,223aa149,616
aa617,4,X,3,100617,51aa105,617
aa618,1,X,2,100618,49aa125,618
aa619,2,X,4,100619,415aa119,619
aa620,1,X,3,100620,421aa146,620
aa621,4,X,2,100621,484aa97,621
aa622,3,X,5,100622,301aa49,622
aa623,2,X,2,100623,122aa34,623
