,timestamp,eventType,contentId,personId,sessionId,userAgent,userRegion,userCountry,eventStrength,interactCnt,gender,age(15~60)
26530,1466420909,VIEW,101961,-9.22E+18,-1.91E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR,1,43,male,18
27671,1461778829,VIEW,101688,-9.22E+18,3.72E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",SP,BR,1,43,male,18
29363,1466084089,VIEW,100661,-9.22E+18,-3.66E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR,1,43,male,18
29370,1466084089,VIEW,101234,-9.22E+18,-3.66E+18,,,,1,43,male,18
30331,1464968564,VIEW,100688,-9.22E+18,1.55E+18,,,,1,43,male,18
30353,1464968564,VIEW,100639,-9.22E+18,1.55E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,43,male,18
37085,1468236449,VIEW,102471,-9.22E+18,6.16E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
37411,1469538868,VIEW,102037,-9.22E+18,-9.03E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
38189,1469706702,VIEW,101939,-9.22E+18,3.76E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
39274,1470138319,VIEW,100416,-9.22E+18,-2.85E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
43382,1469465101,VIEW,101536,-9.22E+18,5.63E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
43387,1469465104,VIEW,100214,-9.22E+18,5.63E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
47158,1470049641,VIEW,101660,-9.22E+18,5.78E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
47878,1470417889,VIEW,101863,-9.22E+18,-2.77E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,43,male,18
51079,1474283304,VIEW,100205,-9.22E+18,-7.21E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,43,male,18
52495,1474285709,VIEW,101947,-9.22E+18,-7.21E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,43,male,18
53148,1474024687,VIEW,101530,-9.22E+18,8.35E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,43,male,18
53165,1474024616,VIEW,100681,-9.22E+18,8.35E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,43,male,18
53449,1473938707,VIEW,100853,-9.22E+18,3.54E+18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36",SP,BR,1,43,male,18
53585,1475239662,VIEW,101387,-9.22E+18,8.34E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,43,male,18
57202,1475497050,VIEW,101262,-9.22E+18,-1.62E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,43,male,18
58878,1475753782,VIEW,102029,-9.22E+18,-2.90E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,43,male,18
60988,1478687166,VIEW,100433,-9.22E+18,2.41E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",SP,BR,1,43,male,18
61256,1478795892,VIEW,100767,-9.22E+18,-4.10E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",SP,BR,1,43,male,18
63155,1478860184,VIEW,100487,-9.22E+18,8.44E+17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",SP,BR,1,43,male,18
63180,1478862151,VIEW,101966,-9.22E+18,8.44E+17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36",SP,BR,1,43,male,18
63183,1478860897,VIEW,101367,-9.22E+18,8.44E+17,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",SP,BR,1,43,male,18
63577,1481024914,VIEW,101194,-9.22E+18,-6.50E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36",SP,BR,1,43,male,18
63834,1479376578,VIEW,101542,-9.22E+18,-6.08E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36",SP,BR,1,43,male,18
64003,1478705793,VIEW,100731,-9.22E+18,2.41E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",SP,BR,1,43,male,18
65167,1479290925,VIEW,100854,-9.22E+18,-8.87E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.90 Safari/537.36",SP,BR,1,43,male,18
66718,1484302503,VIEW,102109,-9.22E+18,5.83E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,1,43,male,18
66723,1484302758,LIKE,101592,-9.22E+18,5.83E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,2,43,male,18
66728,1484302516,VIEW,101225,-9.22E+18,5.83E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,1,43,male,18
67358,1485252385,VIEW,100777,-9.22E+18,8.73E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,1,43,male,18
67413,1485252387,VIEW,101919,-9.22E+18,8.73E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,1,43,male,18
68860,1487677784,VIEW,100593,-9.22E+18,3.23E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",SP,BR,1,43,male,18
68888,1487678254,VIEW,100332,-9.22E+18,3.23E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",SP,BR,1,43,male,18
68896,1487677800,VIEW,102059,-9.22E+18,3.23E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",SP,BR,1,43,male,18
69856,1487347947,VIEW,100050,-9.22E+18,-4.56E+16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",SP,BR,1,43,male,18
70760,1487764643,VIEW,101687,-9.22E+18,-4.95E+18,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",SP,BR,1,43,male,18
23671,1467719262,LIKE,100027,-9.21E+18,-7.56E+18,,,,2,5,female,52
23674,1467719134,VIEW,102392,-9.21E+18,-7.56E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,5,female,52
29447,1467055427,VIEW,101124,-9.21E+18,-4.59E+17,,,,1,5,female,52
29448,1467055426,VIEW,102464,-9.21E+18,-4.59E+17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR,1,5,female,52
29449,1467055401,VIEW,100669,-9.21E+18,-4.59E+17,,,,1,5,female,52
29465,1467055400,VIEW,101510,-9.21E+18,-4.59E+17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR,1,5,female,52
30572,1467128851,VIEW,100735,-9.21E+18,8.69E+18,,,,1,5,female,52
30585,1467128850,VIEW,100074,-9.21E+18,8.69E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR,1,5,female,52
37957,1469553072,VIEW,101016,-9.21E+18,-8.85E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,5,female,52
15851,1467140430,VIEW,101845,-9.21E+18,-3.15E+17,,,,1,7,male,45
15852,1467140430,VIEW,102134,-9.21E+18,-3.15E+17,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,7,male,45
15883,1467140748,LIKE,100731,-9.21E+18,-3.15E+17,,,,2,7,male,45
18109,1464123542,VIEW,100714,-9.21E+18,1.91E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,7,male,45
18120,1464123617,LIKE,101113,-9.21E+18,1.91E+18,,,,2,7,male,45
23662,1467719472,VIEW,101273,-9.21E+18,8.54E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,7,male,45
33149,1469213710,LIKE,100677,-9.21E+18,6.01E+18,,,,2,7,male,45
34093,1467695437,LIKE,100613,-9.21E+18,8.54E+18,,,,2,7,male,45
35806,1469212069,VIEW,101163,-9.21E+18,6.01E+18,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36",SP,BR,1,7,male,45
37385,1467689754,VIEW,100774,-9.21E+18,8.54E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,7,male,45
41636,1468248492,VIEW,100980,-9.21E+18,1.72E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",SP,BR,1,7,male,45
70883,1488263821,VIEW,102377,-9.21E+18,7.73E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",13,JP,1,7,male,45
70885,1488266449,BOOKMARK,101217,-9.21E+18,7.73E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",13,JP,2.5,7,male,45
70887,1488264730,LIKE,102316,-9.21E+18,7.73E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",13,JP,2,7,male,45
23077,1464675238,VIEW,100400,-9.20E+18,1.47E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",CA,US,1,11,male,21
31439,1464371414,VIEW,100904,-9.20E+18,-2.29E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",CA,US,1,11,male,21
31706,1467183916,VIEW,101143,-9.20E+18,-7.01E+17,,,,1,11,male,21
31707,1467183916,VIEW,101046,-9.20E+18,-7.01E+17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",CA,US,1,11,male,21
41800,1470787594,LIKE,101822,-9.20E+18,-2.41E+18,,,,2,11,male,21
41801,1470787637,VIEW,102199,-9.20E+18,-2.41E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",CA,US,1,11,male,21
41802,1470787584,VIEW,101167,-9.20E+18,-2.41E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",CA,US,1,11,male,21
41803,1470787658,VIEW,101800,-9.20E+18,-2.41E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",CA,US,1,11,male,21
42568,1469477126,VIEW,101951,-9.20E+18,1.16E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",TX,US,1,11,male,21
42675,1471380850,VIEW,100840,-9.20E+18,-8.68E+18,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G35 Safari/601.1",MA,US,1,11,male,21
43760,1471502099,VIEW,101405,-9.20E+18,1.83E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",MA,US,1,11,male,21
44522,1471539376,VIEW,102493,-9.20E+18,1.83E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",MA,US,1,11,male,21
52177,1473260005,VIEW,102079,-9.20E+18,1.51E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",IL,US,1,11,male,21
66146,1485440074,VIEW,101919,-9.20E+18,4.99E+18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",NY,US,1,11,male,21
67049,1485284881,VIEW,102223,-9.20E+18,9.94E+17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",TX,US,1,11,male,21
52931,1474976891,VIEW,100681,-9.20E+18,3.04E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,7,male,24
53485,1475071133,VIEW,100556,-9.20E+18,-8.80E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,7,male,24
56475,1475494194,VIEW,102298,-9.20E+18,6.76E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,7,male,24
57539,1475579972,VIEW,101053,-9.20E+18,-1.94E+17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,7,male,24
57571,1475854441,VIEW,102234,-9.20E+18,7.85E+17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,7,male,24
59484,1476113622,VIEW,101725,-9.20E+18,-7.64E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,7,male,24
66391,1484571676,VIEW,102309,-9.20E+18,6.06E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,1,7,male,24
71324,1481893095,VIEW,100293,-9.20E+18,-5.68E+17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.99 Safari/537.36",SP,BR,1,7,male,24
72302,1485190288,VIEW,101747,-9.20E+18,-8.30E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,1,7,male,24
72309,1485190072,VIEW,102096,-9.20E+18,-8.30E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",SP,BR,1,7,male,24
3030,1464107477,VIEW,100603,-9.19E+18,7.72E+17,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,9,male,34
9992,1463761250,VIEW,100794,-9.19E+18,-3.45E+18,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,9,male,34
17658,1462791936,VIEW,100059,-9.19E+18,7.70E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36",SP,BR,1,9,male,34
22365,1461154060,VIEW,102202,-9.19E+18,5.21E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",SP,BR,1,9,male,34
24330,1467636429,VIEW,101404,-9.19E+18,-8.82E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36",SP,BR,1,9,male,34
27573,1461780828,VIEW,100665,-9.19E+18,5.76E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",SP,BR,1,9,male,34
27582,1461780870,LIKE,101965,-9.19E+18,5.76E+18,,,,2,9,male,34
27657,1461776191,VIEW,100274,-9.19E+18,5.76E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",SP,BR,1,9,male,34
30004,1467378391,VIEW,100090,-9.19E+18,-6.80E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36",SP,BR,1,9,male,34
30016,1467378391,VIEW,101359,-9.19E+18,-6.80E+18,,,,1,9,male,34
53662,1475172021,VIEW,101984,-9.19E+18,6.64E+18,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",SP,BR,1,9,male,34
1789,1463661060,VIEW,101665,-9.17E+18,-1.88E+17,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,24,female,18
2328,1463141394,VIEW,100371,-9.17E+18,-2.58E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,24,female,18
2738,1465213493,VIEW,101497,-9.17E+18,-8.81E+18,,,,1,24,female,18
2756,1465213492,VIEW,101357,-9.17E+18,-8.81E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,24,female,18
4590,1463570918,VIEW,100235,-9.17E+18,-2.86E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR,1,24,female,18
5412,1465909485,VIEW,100710,-9.17E+18,5.07E+18,,,,1,24,female,18
5420,1465909484,VIEW,100637,-9.17E+18,5.07E+18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR,1,24,female,18
